"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"압구정중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 225,,서울특별시 강남구청,37.5302105,127.0330038,2020-08-16
"언북중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도산대로38길 27,,서울특별시 강남구청,37.51942711,127.0331257,2020-08-16
"언주중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로116길 57,,서울특별시 강남구청,37.51465442,127.0466835,2020-08-16
"역삼중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로43길 10,,서울특별시 강남구청,37.49593424,127.0488928,2020-08-16
"은성중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로359길 36,,서울특별시 강남구청,37.48837785,127.0352333,2020-08-16
"중동중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로8길 37,,서울특별시 강남구청,37.48851553,127.0786207,2020-08-16
"진선여자중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로85길 27,,서울특별시 강남구청,37.5023028,127.0482862,2020-08-16
"청담중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로61길 36,,서울특별시 강남구청,37.52866033,127.0448097,2020-08-16
"휘문중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로 541,,서울특별시 강남구청,37.50528774,127.0619956,2020-08-16
"국악중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로22길 65,,서울특별시 강남구청,37.4762299,127.0514757,2020-08-16
"개포고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 402,,서울특별시 강남구청,37.48495876,127.0594054,2020-08-16
"경기고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로 643,,서울특별시 강남구청,37.51756598,127.0560739,2020-08-16
"경기여자고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 삼성로 29,,서울특별시 강남구청,37.48691615,127.0654539,2020-08-16
"단국대학교사범대학부속고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로78길 22,,서울특별시 강남구청,37.49663609,127.0588507,2020-08-16
"서울세종고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로51길 36,,서울특별시 강남구청,37.4903266,127.1027988,2020-08-16
"숙명여자고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2807,,서울특별시 강남구청,37.49147446,127.0526124,2020-08-16
"압구정고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로39길 20,,서울특별시 강남구청,37.5311729,127.0327101,2020-08-16
"영동고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 742,,서울특별시 강남구청,37.52138784,127.0437374,2020-08-16
"은광여자고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로359길 36,,서울특별시 강남구청,37.48837785,127.0352333,2020-08-16
"중동고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 7,,서울특별시 강남구청,37.49371459,127.0809111,2020-08-16
"중산고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로14길 22,,서울특별시 강남구청,37.48574212,127.0814271,2020-08-16
"중앙대학교사범대학부속고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 207,,서울특별시 강남구청,37.4919416,127.0521317,2020-08-16
"진선여자고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로85길 27,,서울특별시 강남구청,37.5023028,127.0482862,2020-08-16
"청담고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 419,,서울특별시 강남구청,37.52800121,127.0437006,2020-08-16
"현대고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 127,,서울특별시 강남구청,37.52548077,127.0223767,2020-08-16
"휘문고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로 541,,서울특별시 강남구청,37.50528774,127.0619956,2020-08-16
"단국공업고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로78길 22,,서울특별시 강남구청,37.49663609,127.0588507,2020-08-16
"대진디자인고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로39길 93,,서울특별시 강남구청,37.4904401,127.0959782,2020-08-16
"서울로봇고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로20길 63,,서울특별시 강남구청,37.4807426,127.0845783,2020-08-16
"수도전기공업고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 410,,서울특별시 강남구청,37.48493808,127.0644798,2020-08-16
"국악고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로22길 65,,서울특별시 강남구청,37.4762299,127.0514757,2020-08-16
"밀알학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 90,,서울특별시 강남구청,37.48578132,127.0820739,2020-08-16
"서울정애학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로81길 16,,서울특별시 강남구청,37.5143628,127.054425,2020-08-16
"서울개원초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 29,,서울특별시 강남구청,37.48161815,127.0587379,2020-08-16
"서울개일초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 401,,서울특별시 강남구청,37.48621378,127.057776,2020-08-16
"서울개포초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로3길 45,,서울특별시 강남구청,37.48680544,127.0699766,2020-08-16
"서울구룡초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 263,,서울특별시 강남구청,37.48119613,127.051773,2020-08-16
"서울율현초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 밤고개로21길 15,,서울특별시 강남구청,37.47455888,127.1082669,2020-08-16
"서울자곡초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 150,,서울특별시 강남구청,37.47219144,127.0996008977,2020-08-16
"서울논현초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 강남대로120길 33,,서울특별시 강남구청,37.50849066,127.0262217,2020-08-16
"서울대곡초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 3022,,서울특별시 강남구청,37.49471191,127.0650265,2020-08-16
"서울대모초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로20길 27,,서울특별시 강남구청,37.48059953,127.0859937,2020-08-16
"서울대왕초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 헌릉로618길 8,,서울특별시 강남구청,37.46462136,127.1055895,2020-08-16
"서울대진초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로109길 74,,서울특별시 강남구청,37.4970272,127.0780785,2020-08-16
"서울대청초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재대로55길 28,,서울특별시 강남구청,37.4931172,127.0877676,2020-08-16
"서울대치초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재천로 363,,서울특별시 강남구청,37.49127879,127.0621966,2020-08-16
"서울대현초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로98길 16,,서울특별시 강남구청,37.50372276,127.063564,2020-08-16
"서울도곡초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로64길 33,,서울특별시 강남구청,37.4995106,127.0544636,2020-08-16
"서울도성초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로 313,,서울특별시 강남구청,37.50146282,127.0488738,2020-08-16
"서울봉은초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 610,,서울특별시 강남구청,37.52008278,127.0609811,2020-08-16
"서울삼릉초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로63길 22,,서울특별시 강남구청,37.51325956,127.0469142,2020-08-16
"서울세명초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 55,,서울특별시 강남구청,37.46885737,127.0910762,2020-08-16
"서울수서초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로51길 46,,서울특별시 강남구청,37.49115058,127.1015493,2020-08-16
"서울신구초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로18길 28,,서울특별시 강남구청,37.5233603,127.0239915,2020-08-16
"서울압구정초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로39길 29,,서울특별시 강남구청,37.53173902,127.0308413,2020-08-16
"서울양전초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 513,,서울특별시 강남구청,37.49028366,127.0694778,2020-08-16
"서울언북초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 삼성로135길 42,,서울특별시 강남구청,37.52012607,127.0447141,2020-08-16
"서울언주초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로363길 19,,서울특별시 강남구청,37.48632308,127.0367809,2020-08-16
"서울역삼초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 강남대로66길 21,,서울특별시 강남구청,37.49316115,127.032603,2020-08-16
"서울영희초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 21,,서울특별시 강남구청,37.49230166,127.0811312,2020-08-16
"서울왕북초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로31길 74,,서울특별시 강남구청,37.4863299,127.0860392,2020-08-16
"서울일원초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로4길 20,,서울특별시 강남구청,37.48978925,127.0763251,2020-08-16
"서울청담초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로71길 9,,서울특별시 강남구청,37.52828178,127.0451534,2020-08-16
"서울포이초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로22길 87,,서울특별시 강남구청,37.4759156202,127.0525105521,2020-08-16
"서울학동초등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로115길 42,,서울특별시 강남구청,37.51226034,127.0395969,2020-08-16
"개원중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로 101,,서울특별시 강남구청,37.49164119,127.071402,2020-08-16
"개포중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 9,,서울특별시 강남구청,37.48078775,127.0616271,2020-08-16
"구룡중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 103,,서울특별시 강남구청,37.4861533,127.0561228,2020-08-16
"단국대학교사범대학부속중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로78길 22,,서울특별시 강남구청,37.49663609,127.0588507,2020-08-16
"대명중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로87길 26,,서울특별시 강남구청,37.5063402,127.0609831,2020-08-16
"대왕중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로20길 7,,서울특별시 강남구청,37.483438,127.0873271,2020-08-16
"대청중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재천로 321,,서울특별시 강남구청,37.4904302,127.0583895,2020-08-16
"대치중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로378길 39,,서울특별시 강남구청,37.4845654,127.0470673,2020-08-16
"도곡중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 언주로57길 31,,서울특별시 강남구청,37.4923472,127.0452176,2020-08-16
"봉은중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로128길 59,,서울특별시 강남구청,37.5189411,127.0623915,2020-08-16
"수서중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로59길 57,,서울특별시 강남구청,37.49120395,127.1023885,2020-08-16
"숙명여자중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2807,,서울특별시 강남구청,37.49147446,127.0526124,2020-08-16
"세곡중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 81,,서울특별시 강남구청,37.47198145,127.0918849,2020-08-16
"신구중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로36길 17,,서울특별시 강남구청,37.52744283,127.0316722,2020-08-16
"신사중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 123,,서울특별시 강남구청,37.52469892,127.0211909,2020-08-16
"일원은행나무공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1500,100000,02-3423-7115,서울특별시 강남구 개포로110길 15,,서울특별시 강남구청,37.49324368,127.0791149,2020-08-16
"일원목련공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1614,100000,02-3423-7115,서울특별시 강남구 양재대로47길 22,,서울특별시 강남구청,37.49160996,127.0858306,2020-08-16
"일원까치공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1476,100000,02-3423-7115,서울특별시 강남구 양재대로55길 14,,서울특별시 강남구청,37.4918223,127.0880201,2020-08-16
